id,keyword,count
0,Trump Donald J,261
1,United States Politics and Government,212
2,New York City,50
3,Crossword Puzzles,45
4,Immigration and Emigration,42
5,Republican Party,41
6,United States International Relations,34
7,Senate,30
8,Refugees and Displaced Persons,30
9,New York Times,30
10,Executive Orders and Memorandums,29
11,Theater,28
12,Russia,27
13,News and News Media,26
14,Labor and Jobs,25
15,Education (K-12),24
16,Movies,24
17,Presidential Election of 2016,23
18,Appointments and Executive Changes,23
19,Restaurants,23
20,United States Economy,22
21,House of Representatives,22
22,Women and Girls,22
23,Patient Protection and Affordable Care Act (2010),22
24,Health Insurance and Managed Care,21
25,Cooking and Cookbooks,21
26,Illegal Immigration,20
27,Television,19
28,China,19
29,Politics and Government,19
30,Blacks,18
31,Demonstrations Protests and Riots,18
32,United States Defense and Military Forces,17
33,Bannon Stephen K,17
34,Democratic Party,16
35,Photography,16
36,Sessions Jefferson B III,15
37,Supreme Court (US),15
38,Colleges and Universities,14
39,Obama Barack,14
40,Travel and Vacations,14
41,Justice Department,13
42,DeVos Elizabeth (1958- ),13
43,Newspapers,13
44,Discrimination,12
45,Flynn Michael T,12
46,Deportation,12
47,Cyberwarfare and Defense,11
48,Law and Legislation,11
49,Social Media,11
50,Basketball,10
51,United States,10
52,Baseball,10
53,Education Department (US),10
54,Israel,10
55,Putin Vladimir V,10
56,Gorsuch Neil M,10
57,Regulation and Deregulation of Industry,10
58,Transgender and Transsexuals,9
59,Race and Ethnicity,9
60,News,9
61,Espionage and Intelligence Services,9
62,Mexico,9
63,Courts and the Judiciary,9
64,Children and Childhood,9
65,Vietnam,8
66,Real Estate and Housing (Residential),8
67,Super Bowl,8
68,Terrorism,8
69,Exercise,8
70,International Trade and World Market,8
71,Parenting,8
72,California,8
73,Abortion,8
74,Speeches and Statements,8
75,Conservatism (US Politics),8
76,Palestinians,7
77,Environmental Protection Agency,7
78,Elderly,7
79,Vietnam War,7
80,France,7
81,Slavery (Historical),7
82,Pregnancy and Childbirth,7
83,Disabilities,7
84,Academy Awards (Oscars),7
85,Women's Rights,7
86,Netanyahu Benjamin,7
87,Subways,7
88,Decisions and Verdicts,7
89,Washington (DC),7
90,Social Conditions and Trends,7
91,Suits and Litigation (Civil),7
92,National Security Council,7
93,Banking and Financial Institutions,7
94,Marriages,7
95,Immigration and Customs Enforcement (US),7
96,Robart James L,7
97,Wines,7
98,Taxation,6
99,Great Britain Withdrawal from EU (Brexit),6
100,Foreign Workers,6
101,Research,6
102,New York Knicks,6
103,Diet and Nutrition,6
104,Books and Literature,6
105,Historic Buildings and Sites,6
106,Canada,6
107,Presidents and Presidency (US),6
108,Drugs (Pharmaceuticals),6
109,Soccer,6
110,Families and Family Life,6
111,Bathrooms and Toilets,6
112,Ethics (Personal),6
113,New England Patriots,6
114,Philosophy,6
115,Fringe Groups and Movements,6
116,Federal Budget (US),6
117,Income Inequality,5
118,Manhattan (NYC),5
119,Underground Railroad (19th Century),5
120,Art,5
121,Ryan Paul D Jr,5
122,Defense Department,5
123,Warren Elizabeth,5
124,Factories and Manufacturing,5
125,Computers and the Internet,5
126,Tax Credits Deductions and Exemptions,5
127,Vouchers,5
128,Human Rights and Human Rights Violations,5
129,Retirement,5
130,McConnell Mitch,5
131,Love (Emotion),5
132,Wages and Salaries,5
133,Greenhouse Gas Emissions,5
134,State Department,5
135,Major League Baseball,5
136,Dodd-Frank Wall Street Reform and Consumer Protection Act (2010),5
137,Dating and Relationships,5
138,Recipes,5
139,Football,5
140,Priebus Reince R,5
